Reception date,Reception time,aggregation id ,aggregation name,obsw.cdh.telemetry.DataPool.platform.BAT1.batteryCurrent[0].value,obsw.cdh.telemetry.DataPool.platform.BAT1.batteryCurrent[1].value,obsw.cdh.telemetry.DataPool.platform.BAT1.batteryCurrent[2].value,obsw.cdh.telemetry.DataPool.platform.BAT1.batteryVoltage[0].value,obsw.cdh.telemetry.DataPool.platform.BAT1.batteryVoltage[1].value,obsw.cdh.telemetry.DataPool.platform.BAT1.batteryVoltage[2].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchCurrents[0].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchCurrents[1].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchCurrents[2].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchCurrents[3].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchCurrents[4].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchCurrents[5].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchCurrents[6].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchCurrents[7].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchCurrents[8].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchCurrents[9].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchVoltages[0].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchVoltages[1].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchVoltages[2].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchVoltages[3].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchVoltages[4].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchVoltages[5].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchVoltages[6].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchVoltages[7].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchVoltages[8].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchVoltages[9].value,obsw.cdh.telemetry.DataPool.platform.EPS.busCurrents[0].value,obsw.cdh.telemetry.DataPool.platform.EPS.busCurrents[1].value,obsw.cdh.telemetry.DataPool.platform.EPS.busCurrents[2].value,obsw.cdh.telemetry.DataPool.platform.EPS.busCurrents[3].value,obsw.cdh.telemetry.DataPool.platform.EPS.busVoltages[0].value,obsw.cdh.telemetry.DataPool.platform.EPS.busVoltages[1].value,obsw.cdh.telemetry.DataPool.platform.EPS.busVoltages[2].value,obsw.cdh.telemetry.DataPool.platform.EPS.busVoltages[3].value,obsw.cdh.telemetry.DataPool.platform.EPS.BcrOutputCurrent.value,obsw.cdh.telemetry.DataPool.platform.EPS.BcrOutputVoltage.value
2025-03-12,20:19:44.911,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,0,405,640,512,193,944,757,951,873,297,233,425,384,64,64,128,64,0,0,0,0,0,0,0,0,0,201,967,221,194,983,478,522,263
2025-03-12,20:20:44.913,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,0,413,128,512,193,944,821,951,873,297,233,361,384,64,64,64,64,0,0,0,0,0,0,0,0,0,201,967,220,962,727,478,522,775
2025-03-12,20:21:44.915,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,0,420,640,448,257,944,757,951,873,233,233,361,320,128,64,64,64,0,0,0,0,0,0,0,0,0,201,966,988,962,983,478,522,519
2025-03-12,20:22:44.918,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,0,428,128,512,193,944,821,887,809,297,233,361,320,64,128,128,64,0,0,0,0,0,0,0,0,0,201,967,220,962,727,478,522,263
2025-03-12,20:23:44.912,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,0,435,640,512,193,944,757,951,873,297,233,361,320,64,64,64,64,0,0,0,0,0,0,0,0,0,201,967,220,706,983,478,522,263
2025-03-12,20:24:44.913,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,0,443,128,512,193,880,757,887,809,297,233,425,384,64,128,128,64,0,0,0,0,0,0,0,0,0,201,967,220,706,983,478,522,519
2025-03-12,20:25:44.914,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,0,450,640,448,193,944,757,887,809,297,233,361,384,128,64,64,64,0,0,0,0,0,0,0,0,0,201,966,988,706,983,478,522,519
2025-03-12,20:26:44.916,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,0,458,128,512,193,944,757,951,809,233,233,361,320,64,64,64,128,0,0,0,0,0,0,0,0,0,201,966,988,706,727,478,522,519
2025-03-12,20:27:44.922,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,0,465,640,448,193,944,757,951,745,297,169,361,320,128,64,128,128,0,0,0,0,0,0,0,0,0,201,967,220,450,983,734,522,519
2025-03-12,20:28:44.924,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,0,473,128,512,193,944,821,951,745,297,233,361,384,64,64,64,64,0,0,0,0,0,0,0,0,0,201,967,220,450,983,478,522,519
2025-03-12,20:29:44.925,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,0,480,640,512,193,944,757,951,681,297,233,361,320,128,64,64,64,0,0,0,0,0,0,0,0,0,201,967,220,450,983,734,522,519
2025-03-12,20:30:44.917,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,0,488,128,448,257,944,757,951,681,233,233,361,320,64,64,64,64,0,0,0,0,0,0,0,0,0,201,967,220,450,983,478,522,263
2025-03-12,20:31:44.922,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,0,495,640,448,193,944,821,951,681,233,233,361,384,64,64,64,64,0,0,0,0,0,0,0,0,0,201,966,988,194,983,734,522,775
2025-03-12,20:32:44.480,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,0,503,128,448,257,944,757,951,745,297,233,361,384,64,64,64,64,0,0,0,0,0,0,0,0,0,201,966,988,450,727,734,522,519
2025-03-12,20:33:44.916,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,0,510,640,448,193,944,757,951,617,297,169,361,320,128,128,128,64,0,0,0,0,0,0,0,0,0,201,710,988,194,983,478,522,775
