Reception date,Reception time,aggregation id ,aggregation name,obsw.cdh.telemetry.DataPool.platform.BAT1.batteryCurrent[0].value,obsw.cdh.telemetry.DataPool.platform.BAT1.batteryCurrent[1].value,obsw.cdh.telemetry.DataPool.platform.BAT1.batteryCurrent[2].value,obsw.cdh.telemetry.DataPool.platform.BAT1.batteryVoltage[0].value,obsw.cdh.telemetry.DataPool.platform.BAT1.batteryVoltage[1].value,obsw.cdh.telemetry.DataPool.platform.BAT1.batteryVoltage[2].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchCurrents[0].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchCurrents[1].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchCurrents[2].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchCurrents[3].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchCurrents[4].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchCurrents[5].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchCurrents[6].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchCurrents[7].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchCurrents[8].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchCurrents[9].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchVoltages[0].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchVoltages[1].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchVoltages[2].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchVoltages[3].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchVoltages[4].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchVoltages[5].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchVoltages[6].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchVoltages[7].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchVoltages[8].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchVoltages[9].value,obsw.cdh.telemetry.DataPool.platform.EPS.busCurrents[0].value,obsw.cdh.telemetry.DataPool.platform.EPS.busCurrents[1].value,obsw.cdh.telemetry.DataPool.platform.EPS.busCurrents[2].value,obsw.cdh.telemetry.DataPool.platform.EPS.busCurrents[3].value,obsw.cdh.telemetry.DataPool.platform.EPS.busVoltages[0].value,obsw.cdh.telemetry.DataPool.platform.EPS.busVoltages[1].value,obsw.cdh.telemetry.DataPool.platform.EPS.busVoltages[2].value,obsw.cdh.telemetry.DataPool.platform.EPS.busVoltages[3].value,obsw.cdh.telemetry.DataPool.platform.EPS.BcrOutputCurrent.value,obsw.cdh.telemetry.DataPool.platform.EPS.BcrOutputVoltage.value
2025-03-12,11:40:12.358,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,0,38,128,448,192,880,693,819,683,747,363,363,192,64,64,128,128,0,0,0,0,0,0,0,0,0,207,721,204,962,983,478,513,7
2025-03-12,11:41:12.360,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,0,45,640,512,192,880,629,883,619,875,491,427,320,64,64,64,64,0,0,0,0,0,0,0,0,0,208,209,460,706,983,478,513,263
2025-03-12,11:42:12.358,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,0,53,128,448,192,880,629,883,619,747,427,427,320,128,128,64,64,0,0,0,0,0,0,0,0,0,208,209,716,706,983,734,513,7
2025-03-12,11:43:12.370,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,0,60,640,512,192,880,693,883,619,555,299,363,256,64,64,64,64,0,0,0,0,0,0,0,0,0,208,208,972,706,983,478,513,7
2025-03-12,11:44:12.372,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,0,68,128,448,192,880,693,883,619,683,427,427,256,64,128,64,64,0,0,0,0,0,0,0,0,0,208,209,204,706,983,478,513,263
2025-03-12,11:45:12.372,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,0,75,640,448,192,880,693,819,619,427,107,299,192,64,64,64,64,0,0,0,0,0,0,0,0,0,207,976,204,706,983,478,769,7
2025-03-12,11:46:12.359,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,0,83,128,448,192,880,629,883,619,619,299,363,256,64,64,64,128,0,0,0,0,0,0,0,0,0,207,977,204,706,727,478,513,7
2025-03-12,11:47:12.339,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,0,90,640,448,192,880,629,819,619,619,299,363,192,64,64,64,64,0,0,0,0,0,0,0,0,0,206,976,204,706,983,478,513,263
2025-03-12,11:48:11.886,CCT_AGGREGATOR,CCT_AGGREGATOR,4,512,0,98,128,448,192,880,693,883,619,747,363,363,192,128,64,64,64,0,0,0,0,0,0,0,0,0,206,976,972,706,983,478,513,263
2025-03-12,11:49:12.321,CCT_AGGREGATOR,CCT_AGGREGATOR,4,512,0,105,640,448,192,880,693,883,619,683,299,299,256,64,64,64,64,0,0,0,0,0,0,0,0,0,207,977,204,706,983,734,513,7
2025-03-12,11:50:12.311,CCT_AGGREGATOR,CCT_AGGREGATOR,4,512,0,113,128,448,192,880,693,883,619,747,363,427,320,64,64,64,64,0,0,0,0,0,0,0,0,0,208,209,716,706,727,478,769,263
2025-03-12,11:51:12.307,CCT_AGGREGATOR,CCT_AGGREGATOR,4,512,0,120,640,448,192,816,693,883,555,683,299,363,256,128,64,64,64,0,0,0,0,0,0,0,0,0,207,208,716,706,727,478,513,7
2025-03-12,11:52:12.296,CCT_AGGREGATOR,CCT_AGGREGATOR,4,512,0,128,128,448,192,880,693,883,555,683,299,363,256,128,64,64,64,0,0,0,0,0,0,0,0,0,207,208,972,706,983,478,513,263
2025-03-12,11:53:12.291,CCT_AGGREGATOR,CCT_AGGREGATOR,4,512,0,135,640,448,192,880,629,819,555,811,491,491,256,128,64,64,64,0,0,0,0,0,0,0,0,0,207,465,204,450,983,478,513,263
2025-03-12,11:54:12.287,CCT_AGGREGATOR,CCT_AGGREGATOR,4,512,0,143,128,448,192,304,629,883,619,427,235,235,128,128,64,128,64,0,0,0,0,0,0,0,0,0,207,721,204,450,983,478,513,263
2025-03-12,11:55:12.283,CCT_AGGREGATOR,CCT_AGGREGATOR,4,512,0,150,704,448,195,368,309,564,363,299,107,171,0,64,64,64,64,0,0,0,0,0,0,0,0,0,207,720,976,706,983,478,513,263
2025-03-12,11:56:12.278,CCT_AGGREGATOR,CCT_AGGREGATOR,4,512,0,158,192,448,195,368,309,628,491,555,235,235,128,64,128,64,128,0,0,0,0,0,0,0,0,0,208,721,720,962,983,478,513,7
2025-03-12,11:57:12.279,CCT_AGGREGATOR,CCT_AGGREGATOR,4,512,0,165,704,512,258,688,437,692,491,683,363,299,128,128,64,128,64,0,0,0,0,0,0,0,0,0,209,210,208,706,983,478,769,263
2025-03-12,11:58:12.277,CCT_AGGREGATOR,CCT_AGGREGATOR,4,512,0,173,192,448,195,752,245,564,683,555,235,235,64,64,64,64,64,0,0,0,0,0,0,0,0,0,208,465,977,962,983,478,513,263
2025-03-12,11:59:12.277,CCT_AGGREGATOR,CCT_AGGREGATOR,4,512,0,180,704,448,195,816,245,564,747,491,235,171,64,64,64,64,64,0,0,0,0,0,0,0,0,0,208,209,465,962,983,478,513,263
2025-03-12,12:00:12.275,CCT_AGGREGATOR,CCT_AGGREGATOR,4,512,0,188,192,448,195,816,245,564,811,427,107,107,64,128,64,128,64,0,0,0,0,0,0,0,0,0,209,466,210,194,983,478,513,263
2025-03-12,12:01:12.287,CCT_AGGREGATOR,CCT_AGGREGATOR,4,512,0,195,704,512,195,816,437,756,491,363,43,107,0,64,64,64,64,0,0,0,0,0,0,0,0,0,209,465,978,450,983,734,513,263
2025-03-12,12:02:12.284,CCT_AGGREGATOR,CCT_AGGREGATOR,4,512,0,203,192,448,195,816,245,564,875,170,938,1002,896,64,64,64,64,0,0,0,0,0,0,0,0,0,209,209,466,450,983,478,769,7
2025-03-12,12:03:12.285,CCT_AGGREGATOR,CCT_AGGREGATOR,4,512,0,210,704,448,195,816,181,564,939,555,235,171,64,64,64,64,128,0,0,0,0,0,0,0,0,0,209,978,722,706,983,478,513,263
2025-03-12,12:04:12.293,CCT_AGGREGATOR,CCT_AGGREGATOR,4,512,0,218,192,448,195,880,501,692,619,811,363,363,192,64,64,64,64,0,0,0,0,0,0,0,0,0,210,211,720,962,983,478,513,263
2025-03-12,12:05:12.295,CCT_AGGREGATOR,CCT_AGGREGATOR,4,512,0,225,704,448,259,816,245,564,1003,683,299,299,128,64,64,64,64,0,0,0,0,0,0,0,0,0,210,723,722,962,983,478,513,263
2025-03-12,12:06:11.852,CCT_AGGREGATOR,CCT_AGGREGATOR,4,512,0,233,192,448,259,816,437,692,683,683,299,299,128,64,64,64,64,0,0,0,0,0,0,0,0,0,210,723,723,194,983,478,513,263
2025-03-12,12:07:12.308,CCT_AGGREGATOR,CCT_AGGREGATOR,4,512,0,240,704,448,195,880,245,565,43,491,171,235,128,64,64,64,64,0,0,0,0,0,0,0,0,0,211,211,467,194,727,478,513,263
2025-03-12,12:08:12.308,CCT_AGGREGATOR,CCT_AGGREGATOR,4,512,0,248,192,512,195,880,245,565,107,234,874,1003,0,64,128,64,64,0,0,0,0,0,0,0,0,0,210,978,723,194,983,478,513,7
2025-03-12,12:09:12.311,CCT_AGGREGATOR,CCT_AGGREGATOR,4,512,0,255,704,448,195,880,245,565,107,619,235,235,128,64,64,64,64,0,0,0,0,0,0,0,0,0,210,467,211,450,983,478,769,263
2025-03-12,12:10:12.312,CCT_AGGREGATOR,CCT_AGGREGATOR,4,512,0,263,192,448,259,880,245,565,107,555,235,235,64,64,64,64,64,0,0,0,0,0,0,0,0,0,208,721,723,706,727,478,513,7
2025-03-12,12:11:12.312,CCT_AGGREGATOR,CCT_AGGREGATOR,4,512,0,270,704,512,195,880,245,565,171,555,235,235,0,64,64,64,64,0,0,0,0,0,0,0,0,0,208,977,979,706,983,478,513,7
2025-03-12,12:12:12.314,CCT_AGGREGATOR,CCT_AGGREGATOR,4,512,0,278,192,448,193,560,245,565,171,683,299,235,64,64,64,64,64,0,0,0,0,0,0,0,0,0,209,210,723,706,727,478,513,263
2025-03-12,12:13:12.315,CCT_AGGREGATOR,CCT_AGGREGATOR,4,512,0,285,704,448,195,880,245,565,171,555,171,171,128,64,64,64,64,0,0,0,0,0,0,0,0,0,210,467,211,962,983,734,769,7
2025-03-12,12:14:12.317,CCT_AGGREGATOR,CCT_AGGREGATOR,4,512,0,293,192,448,195,880,245,565,235,363,107,107,0,64,64,128,64,0,0,0,0,0,0,0,0,0,210,210,723,962,727,478,769,263
2025-03-12,12:15:12.319,CCT_AGGREGATOR,CCT_AGGREGATOR,4,512,0,300,704,512,193,560,245,565,235,427,107,107,0,64,64,64,128,0,0,0,0,0,0,0,0,0,210,723,212,194,983,734,513,7
2025-03-12,12:16:12.321,CCT_AGGREGATOR,CCT_AGGREGATOR,4,512,0,308,192,448,259,944,245,565,299,555,171,171,64,128,128,64,128,0,0,0,0,0,0,0,0,0,209,466,724,194,983,478,513,263
2025-03-12,12:17:12.323,CCT_AGGREGATOR,CCT_AGGREGATOR,4,512,0,315,704,448,195,944,245,565,299,555,171,171,0,64,64,64,64,0,0,0,0,0,0,0,0,0,210,210,980,194,983,478,513,7
2025-03-12,12:18:12.324,CCT_AGGREGATOR,CCT_AGGREGATOR,4,512,0,323,192,448,195,944,437,756,939,619,235,235,64,128,64,128,64,0,0,0,0,0,0,0,0,0,209,979,212,450,727,478,513,7
