Reception date,Reception time,aggregation id ,aggregation name,obsw.cdh.telemetry.DataPool.platform.BAT1.batteryCurrent[0].value,obsw.cdh.telemetry.DataPool.platform.BAT1.batteryCurrent[1].value,obsw.cdh.telemetry.DataPool.platform.BAT1.batteryCurrent[2].value,obsw.cdh.telemetry.DataPool.platform.BAT1.batteryVoltage[0].value,obsw.cdh.telemetry.DataPool.platform.BAT1.batteryVoltage[1].value,obsw.cdh.telemetry.DataPool.platform.BAT1.batteryVoltage[2].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchCurrents[0].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchCurrents[1].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchCurrents[2].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchCurrents[3].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchCurrents[4].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchCurrents[5].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchCurrents[6].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchCurrents[7].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchCurrents[8].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchCurrents[9].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchVoltages[0].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchVoltages[1].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchVoltages[2].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchVoltages[3].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchVoltages[4].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchVoltages[5].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchVoltages[6].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchVoltages[7].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchVoltages[8].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchVoltages[9].value,obsw.cdh.telemetry.DataPool.platform.EPS.busCurrents[0].value,obsw.cdh.telemetry.DataPool.platform.EPS.busCurrents[1].value,obsw.cdh.telemetry.DataPool.platform.EPS.busCurrents[2].value,obsw.cdh.telemetry.DataPool.platform.EPS.busCurrents[3].value,obsw.cdh.telemetry.DataPool.platform.EPS.busVoltages[0].value,obsw.cdh.telemetry.DataPool.platform.EPS.busVoltages[1].value,obsw.cdh.telemetry.DataPool.platform.EPS.busVoltages[2].value,obsw.cdh.telemetry.DataPool.platform.EPS.busVoltages[3].value,obsw.cdh.telemetry.DataPool.platform.EPS.BcrOutputCurrent.value,obsw.cdh.telemetry.DataPool.platform.EPS.BcrOutputVoltage.value
2025-03-13,00:23:45.038,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,2,187,640,448,193,1008,757,948,745,297,169,361,320,64,128,64,128,0,0,0,0,0,0,0,0,0,201,710,976,706,983,478,779,263
2025-03-13,00:24:45.027,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,2,195,128,448,193,1008,757,948,745,233,233,361,320,128,64,64,64,0,0,0,0,0,0,0,0,0,201,710,976,450,727,478,523,263
2025-03-13,00:25:45.034,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,2,202,640,448,194,48,821,948,681,233,169,297,320,64,64,128,64,0,0,0,0,0,0,0,0,0,201,710,976,706,983,478,523,7
2025-03-13,00:26:44.592,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,2,210,128,448,194,48,757,948,681,233,233,297,320,64,64,64,64,0,0,0,0,0,0,0,0,0,201,710,976,450,983,478,523,263
2025-03-13,00:27:45.042,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,2,217,640,512,194,48,757,948,681,233,169,361,320,64,128,64,64,0,0,0,0,0,0,0,0,0,201,710,976,450,983,478,523,263
2025-03-13,00:28:45.031,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,2,225,128,448,194,48,821,948,745,233,169,361,320,64,64,64,64,0,0,0,0,0,0,0,0,0,201,710,976,450,727,478,523,7
2025-03-13,00:29:45.037,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,2,232,640,512,193,1008,757,948,681,233,169,297,320,64,64,64,64,0,0,0,0,0,0,0,0,0,201,710,976,450,983,478,523,7
2025-03-13,00:30:45.027,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,2,240,128,448,258,48,757,948,681,233,233,297,320,128,128,64,64,0,0,0,0,0,0,0,0,0,201,710,976,194,983,478,523,7
2025-03-13,00:31:45.033,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,2,247,640,448,257,1008,757,948,681,233,169,361,256,64,64,64,64,0,0,0,0,0,0,0,0,0,201,710,976,450,983,478,523,7
2025-03-13,00:32:45.035,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,2,255,128,512,194,48,757,948,681,233,169,297,320,64,64,64,64,0,0,0,0,0,0,0,0,0,201,710,976,194,727,478,522,775
2025-03-13,00:33:45.038,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,2,262,640,448,193,1008,757,948,681,233,169,297,320,128,64,64,64,0,0,0,0,0,0,0,0,0,201,710,976,194,983,734,523,7
2025-03-13,00:34:45.040,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,2,270,128,448,194,48,821,948,681,297,169,361,320,64,64,64,64,0,0,0,0,0,0,0,0,0,201,710,976,450,727,478,523,263
2025-03-13,00:35:45.030,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,2,277,640,448,194,48,757,948,617,233,169,361,320,128,64,64,64,0,0,0,0,0,0,0,0,0,201,710,976,194,983,478,523,7
2025-03-13,00:36:45.036,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,2,285,128,512,194,48,757,948,617,233,233,361,320,64,64,64,64,0,0,0,0,0,0,0,0,0,201,710,976,194,727,478,523,7
2025-03-13,00:37:45.040,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,2,292,640,448,258,48,757,948,617,233,169,361,256,128,64,128,64,0,0,0,0,0,0,0,0,0,201,710,976,194,983,478,523,263
2025-03-13,00:38:45.043,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,2,300,128,512,193,1008,757,884,681,233,169,361,320,64,64,128,64,0,0,0,0,0,0,0,0,0,201,710,975,962,983,734,523,263
2025-03-13,00:39:45.048,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,2,307,640,448,193,1008,757,948,617,233,169,297,256,64,64,64,128,0,0,0,0,0,0,0,0,0,201,710,975,962,727,478,523,263
2025-03-13,00:40:45.050,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,2,315,128,512,257,1008,757,884,681,233,233,361,320,128,64,64,64,0,0,0,0,0,0,0,0,0,201,710,976,194,727,478,523,263
2025-03-13,00:41:45.052,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,2,322,640,448,193,1008,821,948,681,233,169,297,320,64,64,64,64,0,0,0,0,0,0,0,0,0,201,710,975,962,983,478,523,7
2025-03-13,00:42:45.053,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,2,330,128,448,194,48,757,948,617,233,169,297,320,64,64,64,128,0,0,0,0,0,0,0,0,0,201,710,975,962,983,734,523,7
2025-03-13,00:43:45.055,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,2,337,640,448,194,48,757,948,553,297,169,297,320,64,64,64,64,0,0,0,0,0,0,0,0,0,201,710,975,962,983,478,523,7
2025-03-13,00:44:44.599,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,2,345,128,512,194,48,757,1012,617,233,233,361,320,64,128,64,64,0,0,0,0,0,0,0,0,0,201,710,975,962,983,478,523,7
2025-03-13,00:45:45.051,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,2,352,640,512,194,48,821,948,553,233,169,297,256,64,128,64,64,0,0,0,0,0,0,0,0,0,201,710,975,962,727,478,523,263
2025-03-13,00:46:45.042,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,2,360,128,448,193,1008,757,948,553,233,169,297,320,64,64,64,64,0,0,0,0,0,0,0,0,0,201,710,975,962,983,478,523,263
2025-03-13,00:47:45.006,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,2,367,640,512,193,1008,821,948,553,233,169,361,320,64,128,64,64,0,0,0,0,0,0,0,0,0,201,454,719,706,983,478,523,263
2025-03-13,00:48:44.970,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,2,375,128,512,194,48,821,948,617,233,169,297,320,128,64,64,64,0,0,0,0,0,0,0,0,0,201,710,975,962,983,478,523,263
2025-03-13,00:49:44.955,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,2,382,640,512,257,1008,757,948,553,233,169,297,256,64,64,64,64,0,0,0,0,0,0,0,0,0,201,710,975,706,727,478,523,263
