Reception date,Reception time,aggregation id ,aggregation name,obsw.cdh.telemetry.DataPool.platform.BAT1.batteryCurrent[0].value,obsw.cdh.telemetry.DataPool.platform.BAT1.batteryCurrent[1].value,obsw.cdh.telemetry.DataPool.platform.BAT1.batteryCurrent[2].value,obsw.cdh.telemetry.DataPool.platform.BAT1.batteryVoltage[0].value,obsw.cdh.telemetry.DataPool.platform.BAT1.batteryVoltage[1].value,obsw.cdh.telemetry.DataPool.platform.BAT1.batteryVoltage[2].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchCurrents[0].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchCurrents[1].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchCurrents[2].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchCurrents[3].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchCurrents[4].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchCurrents[5].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchCurrents[6].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchCurrents[7].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchCurrents[8].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchCurrents[9].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchVoltages[0].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchVoltages[1].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchVoltages[2].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchVoltages[3].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchVoltages[4].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchVoltages[5].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchVoltages[6].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchVoltages[7].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchVoltages[8].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchVoltages[9].value,obsw.cdh.telemetry.DataPool.platform.EPS.busCurrents[0].value,obsw.cdh.telemetry.DataPool.platform.EPS.busCurrents[1].value,obsw.cdh.telemetry.DataPool.platform.EPS.busCurrents[2].value,obsw.cdh.telemetry.DataPool.platform.EPS.busCurrents[3].value,obsw.cdh.telemetry.DataPool.platform.EPS.busVoltages[0].value,obsw.cdh.telemetry.DataPool.platform.EPS.busVoltages[1].value,obsw.cdh.telemetry.DataPool.platform.EPS.busVoltages[2].value,obsw.cdh.telemetry.DataPool.platform.EPS.busVoltages[3].value,obsw.cdh.telemetry.DataPool.platform.EPS.BcrOutputCurrent.value,obsw.cdh.telemetry.DataPool.platform.EPS.BcrOutputVoltage.value
2025-03-12,14:21:12.339,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,1,221,704,448,193,624,245,566,811,491,43,107,0,64,64,64,64,0,0,0,0,0,0,0,0,0,210,466,986,194,983,478,769,7
2025-03-12,14:22:12.335,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,1,229,192,512,193,624,181,502,811,683,235,171,0,64,64,128,64,0,0,0,0,0,0,0,0,0,210,466,986,194,983,478,513,263
2025-03-12,14:23:12.330,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,1,236,704,448,195,944,181,566,811,683,235,235,64,64,64,64,64,0,0,0,0,0,0,0,0,0,210,467,216,450,983,478,513,7
2025-03-12,14:24:12.326,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,1,244,192,512,195,944,245,566,811,683,363,299,64,64,64,64,64,0,0,0,0,0,0,0,0,0,210,211,474,194,983,478,513,7
2025-03-12,14:25:12.324,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,1,251,704,448,195,816,181,566,811,939,427,299,128,64,64,64,64,0,0,0,0,0,0,0,0,0,211,468,730,450,727,478,513,7
2025-03-12,14:26:12.323,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,1,259,192,512,195,880,245,566,875,875,363,363,192,64,64,64,64,0,0,0,0,0,0,0,0,0,211,724,986,450,983,478,769,263
2025-03-12,14:27:12.322,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,1,266,704,448,195,880,245,566,875,683,235,235,192,64,64,64,64,0,0,0,0,0,0,0,0,0,212,212,730,450,727,734,513,263
2025-03-12,14:28:12.320,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,1,274,192,448,195,880,245,630,939,491,107,107,0,128,64,128,64,0,0,0,0,0,0,0,0,0,211,723,474,450,983,478,769,263
2025-03-12,14:29:12.318,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,1,281,704,512,195,880,245,566,939,619,235,235,128,64,64,64,64,0,0,0,0,0,0,0,0,0,211,723,986,706,983,478,513,7
2025-03-12,14:30:11.870,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,1,289,192,448,195,880,245,566,939,811,427,363,192,128,64,64,64,0,0,0,0,0,0,0,0,0,211,468,474,962,983,734,513,7
2025-03-12,14:31:12.316,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,1,296,704,448,195,880,565,822,363,747,363,363,192,64,64,64,128,0,0,0,0,0,0,0,0,0,211,980,730,962,983,734,513,263
2025-03-12,14:32:12.314,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,1,304,192,448,195,816,181,566,1003,747,299,363,256,64,64,64,64,0,0,0,0,0,0,0,0,0,212,212,730,962,983,478,513,263
2025-03-12,14:33:12.312,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,1,311,704,448,195,880,245,566,1003,619,299,363,192,64,64,64,128,0,0,0,0,0,0,0,0,0,211,723,987,194,983,478,513,263
2025-03-12,14:34:12.296,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,1,319,192,448,193,624,181,567,43,491,171,235,128,64,128,64,64,0,0,0,0,0,0,0,0,0,210,978,987,194,983,478,513,7
2025-03-12,14:35:12.297,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,1,326,704,448,195,816,245,567,43,491,171,235,64,64,64,64,64,0,0,0,0,0,0,0,0,0,210,722,987,194,983,478,513,7
2025-03-12,14:36:12.297,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,1,334,192,448,195,816,245,567,107,747,363,363,128,64,64,64,64,0,0,0,0,0,0,0,0,0,210,723,473,450,983,734,513,7
2025-03-12,14:37:12.297,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,1,341,704,448,195,880,245,567,107,747,363,363,128,64,128,64,64,0,0,0,0,0,0,0,0,0,210,211,219,194,983,478,513,7
2025-03-12,14:38:12.296,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,1,349,192,448,195,816,245,567,171,619,235,299,128,64,64,64,64,0,0,0,0,0,0,0,0,0,210,723,475,450,983,478,513,7
