Reception date,Reception time,aggregation id ,aggregation name,obsw.cdh.telemetry.DataPool.platform.BAT1.batteryCurrent[0].value,obsw.cdh.telemetry.DataPool.platform.BAT1.batteryCurrent[1].value,obsw.cdh.telemetry.DataPool.platform.BAT1.batteryCurrent[2].value,obsw.cdh.telemetry.DataPool.platform.BAT1.batteryVoltage[0].value,obsw.cdh.telemetry.DataPool.platform.BAT1.batteryVoltage[1].value,obsw.cdh.telemetry.DataPool.platform.BAT1.batteryVoltage[2].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchCurrents[0].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchCurrents[1].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchCurrents[2].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchCurrents[3].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchCurrents[4].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchCurrents[5].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchCurrents[6].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchCurrents[7].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchCurrents[8].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchCurrents[9].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchVoltages[0].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchVoltages[1].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchVoltages[2].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchVoltages[3].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchVoltages[4].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchVoltages[5].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchVoltages[6].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchVoltages[7].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchVoltages[8].value,obsw.cdh.telemetry.DataPool.platform.EPS.switchVoltages[9].value,obsw.cdh.telemetry.DataPool.platform.EPS.busCurrents[0].value,obsw.cdh.telemetry.DataPool.platform.EPS.busCurrents[1].value,obsw.cdh.telemetry.DataPool.platform.EPS.busCurrents[2].value,obsw.cdh.telemetry.DataPool.platform.EPS.busCurrents[3].value,obsw.cdh.telemetry.DataPool.platform.EPS.busVoltages[0].value,obsw.cdh.telemetry.DataPool.platform.EPS.busVoltages[1].value,obsw.cdh.telemetry.DataPool.platform.EPS.busVoltages[2].value,obsw.cdh.telemetry.DataPool.platform.EPS.busVoltages[3].value,obsw.cdh.telemetry.DataPool.platform.EPS.BcrOutputCurrent.value,obsw.cdh.telemetry.DataPool.platform.EPS.BcrOutputVoltage.value
2025-03-12,22:21:44.931,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,1,296,640,448,257,944,757,950,41,297,233,361,384,64,64,64,64,0,0,0,0,0,0,0,0,0,201,967,213,962,727,478,522,519
2025-03-12,22:22:44.932,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,1,304,128,448,193,944,757,950,41,233,233,361,384,64,128,64,64,0,0,0,0,0,0,0,0,0,201,966,981,962,983,478,523,7
2025-03-12,22:23:44.922,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,1,311,640,512,193,944,757,950,105,233,169,361,384,64,64,64,64,0,0,0,0,0,0,0,0,0,201,966,981,962,727,478,522,775
2025-03-12,22:24:44.923,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,1,319,128,448,193,1008,757,950,41,233,233,361,320,64,128,64,128,0,0,0,0,0,0,0,0,0,201,710,981,962,727,734,523,7
2025-03-12,22:25:44.925,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,1,326,640,448,193,1008,821,950,41,233,233,361,384,128,64,128,128,0,0,0,0,0,0,0,0,0,201,966,981,706,983,478,522,775
2025-03-12,22:26:44.926,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,1,334,128,512,257,944,757,950,41,297,169,361,320,128,64,64,128,0,0,0,0,0,0,0,0,0,201,966,981,706,983,478,523,7
2025-03-12,22:27:44.927,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,1,341,640,448,257,1008,757,1013,1001,233,233,361,384,64,64,64,64,0,0,0,0,0,0,0,0,0,201,966,981,706,727,478,522,519
2025-03-12,22:28:44.915,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,1,349,128,448,257,944,757,949,1001,297,233,361,320,128,64,128,64,0,0,0,0,0,0,0,0,0,201,966,981,706,983,478,522,775
2025-03-12,22:29:44.925,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,1,356,640,448,193,1008,757,950,41,297,233,361,320,64,64,64,64,0,0,0,0,0,0,0,0,0,201,966,981,450,983,734,522,519
2025-03-12,22:30:44.921,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,1,364,128,448,193,1008,757,1013,937,297,233,361,320,64,64,64,64,0,0,0,0,0,0,0,0,0,201,966,981,450,727,478,522,775
2025-03-12,22:31:44.922,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,1,371,640,448,193,1008,757,949,937,233,233,361,320,64,64,64,64,0,0,0,0,0,0,0,0,0,201,966,981,450,727,734,522,519
2025-03-12,22:32:44.921,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,1,379,128,512,193,1008,757,949,1001,233,169,425,384,64,64,64,128,0,0,0,0,0,0,0,0,0,201,710,981,450,983,478,522,775
2025-03-12,22:33:44.925,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,1,386,640,448,193,1008,821,949,937,233,233,361,384,64,64,64,64,0,0,0,0,0,0,0,0,0,201,967,213,194,983,734,522,775
2025-03-12,22:34:44.926,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,1,394,128,448,193,1008,757,885,873,297,233,297,320,128,64,64,64,0,0,0,0,0,0,0,0,0,201,966,981,450,983,478,522,775
2025-03-12,22:35:44.926,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,1,401,640,448,257,1008,757,949,873,297,233,361,320,128,64,64,128,0,0,0,0,0,0,0,0,0,201,966,981,194,727,734,522,775
2025-03-12,22:36:44.916,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,1,409,128,512,257,1008,757,949,937,233,233,361,320,64,64,64,64,0,0,0,0,0,0,0,0,0,201,710,981,194,983,478,522,775
2025-03-12,22:37:44.919,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,1,416,640,448,193,1008,757,949,873,233,233,361,320,64,64,64,64,0,0,0,0,0,0,0,0,0,201,966,981,194,983,478,522,775
2025-03-12,22:38:44.476,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,1,424,128,512,257,1008,821,1013,873,297,169,361,320,64,128,64,64,0,0,0,0,0,0,0,0,0,201,966,981,194,983,478,523,7
2025-03-12,22:39:44.924,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,1,431,640,512,257,944,757,949,873,297,233,361,320,64,128,64,64,0,0,0,0,0,0,0,0,0,201,966,980,962,983,478,522,775
2025-03-12,22:40:44.926,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,1,439,128,512,193,1008,821,949,873,297,233,361,320,128,128,64,64,0,0,0,0,0,0,0,0,0,201,710,980,962,727,478,522,775
2025-03-12,22:41:44.914,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,1,446,640,512,193,944,757,949,873,233,169,361,384,64,64,64,64,0,0,0,0,0,0,0,0,0,201,966,980,962,983,478,522,775
2025-03-12,22:42:44.916,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,1,454,128,512,257,944,757,949,809,297,233,361,384,64,128,128,128,0,0,0,0,0,0,0,0,0,201,710,980,962,727,734,523,7
2025-03-12,22:43:44.916,CCT_AGGREGATOR,CCT_AGGREGATOR,5,0,1,461,640,512,257,944,757,949,809,297,233,361,320,64,128,64,64,0,0,0,0,0,0,0,0,0,201,966,980,962,983,478,523,7
